,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",3.1273882681755603,-0.4750611691003366,1.7919800000000001,-0.4834562028024969,1.792
"(40, 10)",1.1406575426423804,-0.47944194552284225,1.7774500000000002,-0.47647488579452,1.7790000000000001
"(45, 5)",0.7277164399340867,-0.46657886893564404,1.7782,-0.4677482395345489,1.7810000000000001
"(45, 10)",12.71698871100565,-0.4709072854805898,1.76354,-0.43633231299865294,1.7650000000000001
"(50, 5)",22.905852620305136,-0.4580267556008719,1.7709000000000001,-0.5201081170943755,1.768
"(50, 10)",12.878755348757275,-0.4623028122682582,1.75618,-0.49741883681845067,1.7590000000000001
"(50, 15)",6.261389522545455,-0.46664868210572363,1.74149,-0.4834562028024969,1.748
"(50, 20)",7.718647822891976,-0.47106436511326955,1.7268100000000002,-0.492182849062468,1.733
"(50, 25)",21.521602682545275,-0.47556731458341517,1.7122600000000001,-0.4153883619747223,1.718
"(50, 30)",19.26223671964387,-0.4801400772236404,1.69771,-0.4258603374866876,1.704
"(55, 5)",1.8784388175869076,-0.44940482909601975,1.7637200000000002,-0.4520402762666009,1.756
"(55, 10)",15.960211268421741,-0.453611072593326,1.74893,-0.49741883681845067,1.747
"(55, 15)",12.411627020148375,-0.4579045825532324,1.73408,-0.492182849062468,1.729
"(55, 20)",13.287548657199485,-0.4622679056832184,1.71932,-0.4991641660704449,1.725
"(55, 25)",10.90151677505847,-0.46670104198328355,1.7047,-0.49741883681845067,1.705
"(55, 30)",8.25982368932551,-0.47122144474594885,1.69016,-0.4485496177626125,1.7
"(60, 25)",14.678448927645269,-0.4577649562130728,1.6973,-0.4991641660704449,1.702
"(60, 30)",1.990661443738247,-0.46223299909817817,1.6827,-0.4677482395345489,1.685
"(60, 35)",10.030976332284396,-0.4667708551533636,1.6681000000000001,-0.49567350756645645,1.666
"(60, 40)",22.36447943790647,-0.4713959776711487,1.65354,-0.4066617157147512,1.661
"(65, 30)",9.515976611340408,-0.4531572869878078,1.6753900000000002,-0.4258603374866876,1.675
"(65, 35)",13.749358142266734,-0.4576427831654333,1.66078,-0.49741883681845067,1.6620000000000001
"(65, 40)",14.952077786495925,-0.46219809251313837,1.6461800000000002,-0.41887902047871073,1.6540000000000001
"(65, 45)",10.375706395226425,-0.4668581216159633,1.63152,-0.49741883681845067,1.633
"(65, 50)",15.976827242206204,-0.4715879638888678,1.61688,-0.4241150082346934,1.62
"(70, 30)",1.4906687210263416,-0.4439943084148372,1.6683500000000002,-0.4398229715026414,1.67
"(70, 35)",11.485385369262293,-0.44840999142238314,1.6536600000000001,-0.4153883619747223,1.661
"(70, 40)",2.75219368828417,-0.45291294089252876,1.6389500000000001,-0.46076692252657203,1.6420000000000001
"(70, 45)",12.302852063462643,-0.45750315682527365,1.62421,-0.49392817831446223,1.621
"(70, 50)",15.811358434676777,-0.4621631859280986,1.60949,-0.4153883619747223,1.619
"(70, 55)",10.726488254315678,-0.4669279347860429,1.59483,-0.4991641660704449,1.599
"(75, 35)",2.1014030777092865,-0.4391073865092534,1.64665,-0.4433136300066298,1.6540000000000001
"(75, 40)",4.247998310362432,-0.443540522809319,1.6318500000000002,-0.4310963252426703,1.6340000000000001
"(75, 45)",13.968215803393562,-0.4480609255719843,1.61703,-0.4066617157147512,1.622
"(75, 50)",17.192917182979343,-0.4526511415047296,1.60226,-0.4014257279587685,1.611
"(75, 55)",12.640176228614026,-0.4573460771925939,1.58755,-0.49567350756645645,1.584
"(75, 60)",18.259101085055352,-0.46212827934305833,1.57287,-0.4066617157147512,1.582
"(75, 65)",9.273327148401826,-0.4670152012486426,1.5582500000000001,-0.49567350756645645,1.556
"(75, 75)",1.0314956779231683,-0.47705084444761026,1.53679,-0.47996554429850846,1.539
"(80, 25)",0.829924472945623,-0.42123521496883165,1.6764200000000002,-0.41887902047871073,1.677
"(80, 45)",5.476039068093309,-0.4385314278560952,1.61,-0.42236967898269917,1.614
"(80, 50)",1.3197099198291955,-0.44306928391128064,1.59519,-0.44680428851061826,1.593
"(80, 55)",1.114976122082135,-0.44767695313654565,1.5804200000000002,-0.44505895925862404,1.577
"(80, 60)",9.862602024863069,-0.4523893421169305,1.56566,-0.42236967898269917,1.572
"(80, 65)",14.107010237562953,-0.4571889975599146,1.5509700000000002,-0.5009094953224391,1.555
"(80, 70)",8.541601742140735,-0.46209337275801854,1.53632,-0.48869219055847957,1.541
"(80, 75)",1.8786296771577964,-0.46708501441872263,1.5217100000000001,-0.4729842272905316,1.5230000000000001
"(85, 35)",1.447902448692449,-0.4202578305877145,1.63999,-0.4241150082346934,1.637
"(85, 50)",0.42692941876526663,-0.43338270656271227,1.58827,-0.4345869837466587,1.589
"(85, 55)",5.679141998309611,-0.43792056261789725,1.5734400000000002,-0.42062434973070495,1.576
"(85, 60)",0.948938596137823,-0.44256313842820205,1.55861,-0.44505895925862404,1.561
"(85, 65)",0.6755071783543569,-0.447292980701107,1.54383,-0.44680428851061826,1.547
"(85, 70)",12.367698621055252,-0.45211008943661124,1.52912,-0.41364303272272807,1.538
"(85, 75)",6.574661950439693,-0.4570319179272353,1.51444,-0.43633231299865294,1.5190000000000001
"(85, 80)",6.688617209857809,-0.46205846617297874,1.49981,-0.4834562028024969,1.5030000000000001
"(85, 85)",5.0049856211601265,-0.46717228088132234,1.4852100000000001,-0.4834562028024969,1.485
"(85, 95)",1.202425348238037,-0.47774897614840794,1.45626,-0.4817108735505027,1.457
"(90, 40)",0.4407135520761365,-0.414917123076612,1.6185,-0.41364303272272807,1.619
"(90, 60)",3.8677889473830485,-0.4326322149843542,1.55172,-0.42062434973070495,1.551
"(90, 65)",0.30795440989157974,-0.4372922440871796,1.53685,-0.43807764225064716,1.536
"(90, 70)",8.985172832447834,-0.44202208636008367,1.52206,-0.41364303272272807,1.5250000000000001
"(90, 75)",0.9504158469558717,-0.44687410168062813,1.5073200000000002,-0.44505895925862404,1.5110000000000001
"(90, 80)",15.176991060668122,-0.4518133834637723,1.4926300000000001,-0.40317105721076274,1.5010000000000001
"(90, 85)",10.803870233145192,-0.4568573850020359,1.4778700000000002,-0.492182849062468,1.477
"(90, 90)",10.71778098303665,-0.46200610629541927,1.46322,-0.49741883681845067,1.462
"(90, 95)",10.078648021128098,-0.46727700063644173,1.4486800000000002,-0.5009094953224391,1.449
"(90, 100)",0.41982710166776954,-0.47265261473258446,1.4342400000000002,-0.47123889803853736,1.434
"(95, 60)",0.48821468815191993,-0.4226140250779069,1.55243,-0.4241150082346934,1.552
"(95, 70)",3.530696749818463,-0.4318468168209568,1.51519,-0.42062434973070495,1.516
"(95, 75)",0.8457451839918414,-0.4366115656789016,1.50028,-0.4345869837466587,1.5030000000000001
"(95, 80)",9.121106746686127,-0.4414810342919657,1.4854100000000001,-0.41189770347073384,1.488
"(95, 85)",0.42830912186602305,-0.4464377693676296,1.47059,-0.44505895925862404,1.471
"(95, 90)",2.263991827762681,-0.45149922419841326,1.45591,-0.4590215932745778,1.456
"(95, 95)",12.663950521571296,-0.45668285207683645,1.4413300000000002,-0.4991641660704449,1.442
"(95, 100)",10.4530789224116,-0.46197119971037903,1.42681,-0.49741883681845067,1.427
"(95, 105)",25.07813661144411,-0.4673642670990419,1.4123100000000002,-0.3822271061868321,1.425
"(100, 60)",1.2582906269992769,-0.4125085687088599,1.54584,-0.4153883619747223,1.55
"(100, 65)",0.8040893143888883,-0.41699406488648516,1.53098,-0.4153883619747223,1.534
"(100, 70)",0.9871879789367938,-0.4215842808192303,1.51615,-0.4241150082346934,1.5190000000000001
"(100, 80)",0.08713311334718454,-0.43102651207251963,1.47859,-0.4310963252426703,1.479
"(100, 85)",7.839519198419719,-0.4359134339781039,1.46371,-0.4101523742187396,1.467
"(100, 90)",1.2626885524062599,-0.4408876223462874,1.4489,-0.44505895925862404,1.448
