,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",5.077064454664657,-0.4750611691003366,1.7919800000000001,-0.48869219055847957,1.792
"(40, 10)",1.7422267963556115,-0.47944194552284225,1.7774500000000002,-0.4747295565425258,1.778
"(45, 5)",0.5740037650883281,-0.46657886893564404,1.7782,-0.4677482395345489,1.78
"(45, 10)",13.350466458364096,-0.4709072854805898,1.76354,-0.4345869837466587,1.7610000000000001
"(50, 5)",23.558682723252748,-0.4580267556008719,1.7709000000000001,-0.5218534463463698,1.764
"(50, 10)",14.170186234869243,-0.4623028122682582,1.75618,-0.5009094953224391,1.76
"(50, 15)",7.840251489726182,-0.46664868210572363,1.74149,-0.48694686130648535,1.754
"(50, 20)",9.791986004759407,-0.47106436511326955,1.7268100000000002,-0.49741883681845067,1.738
"(50, 25)",22.127031513803576,-0.47556731458341517,1.7122600000000001,-0.41364303272272807,1.717
"(50, 30)",18.610454489200585,-0.4801400772236404,1.69771,-0.42760566673868183,1.702
"(55, 5)",3.293094321542636,-0.44940482909601975,1.7637200000000002,-0.4502949470146067,1.748
"(55, 10)",15.974506442457258,-0.453611072593326,1.74893,-0.49741883681845067,1.744
"(55, 15)",11.906565642230191,-0.4579045825532324,1.73408,-0.4904375198104738,1.724
"(55, 20)",14.057907612416193,-0.4622679056832184,1.71932,-0.5009094953224391,1.73
"(55, 25)",10.90151677505847,-0.46670104198328355,1.7047,-0.49741883681845067,1.705
"(55, 30)",7.450750789245566,-0.47122144474594885,1.69016,-0.4520402762666009,1.705
"(60, 25)",16.645342522444363,-0.4577649562130728,1.6973,-0.5044001538264276,1.707
"(60, 30)",1.3476594810368554,-0.46223299909817817,1.6827,-0.4660029102825547,1.684
"(60, 35)",10.068493019617192,-0.4667708551533636,1.6681000000000001,-0.49567350756645645,1.663
"(60, 40)",21.709562293985293,-0.4713959776711487,1.65354,-0.4084070449667454,1.6580000000000001
"(65, 30)",9.591196716117071,-0.4531572869878078,1.6753900000000002,-0.4258603374866876,1.669
"(65, 35)",14.361809297352204,-0.4576427831654333,1.66078,-0.4991641660704449,1.663
"(65, 40)",14.980576398384132,-0.46219809251313837,1.6461800000000002,-0.41887902047871073,1.655
"(65, 45)",10.993783627155508,-0.4668581216159633,1.63152,-0.4991641660704449,1.635
"(65, 50)",15.358949363472629,-0.4715879638888678,1.61688,-0.4258603374866876,1.616
"(70, 30)",0.9115934990131825,-0.4439943084148372,1.6683500000000002,-0.4415683007546356,1.67
"(70, 35)",11.003888194654692,-0.44840999142238314,1.6536600000000001,-0.4171336912267165,1.6640000000000001
"(70, 40)",2.8781100403790174,-0.45291294089252876,1.6389500000000001,-0.46076692252657203,1.6440000000000001
"(70, 45)",11.777543695271186,-0.45750315682527365,1.62421,-0.492182849062468,1.617
"(70, 50)",16.493747788768705,-0.4621631859280986,1.60949,-0.41364303272272807,1.622
"(70, 55)",10.804605858153234,-0.4669279347860429,1.59483,-0.4991641660704449,1.602
"(75, 35)",4.146302683230765,-0.4391073865092534,1.64665,-0.44680428851061826,1.6620000000000001
"(75, 40)",4.837513695621951,-0.443540522809319,1.6318500000000002,-0.42935099599067605,1.6340000000000001
"(75, 45)",13.935066723389617,-0.4480609255719843,1.61703,-0.4066617157147512,1.62
"(75, 50)",17.166940308614723,-0.4526511415047296,1.60226,-0.4014257279587685,1.61
"(75, 55)",11.561721877190577,-0.4573460771925939,1.58755,-0.492182849062468,1.58
"(75, 60)",18.827362906684186,-0.46212827934305833,1.57287,-0.40491638646275696,1.582
