,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",6.378793859827262,-0.4750611691003366,1.7919800000000001,-0.492182849062468,1.792
"(40, 10)",1.7435628535852274,-0.47944194552284225,1.7774500000000002,-0.4747295565425258,1.778
"(45, 5)",0.46382561261529515,-0.46657886893564404,1.7782,-0.4677482395345489,1.7790000000000001
"(45, 10)",14.015333803401349,-0.4709072854805898,1.76354,-0.4328416544946645,1.758
"(50, 5)",23.573817441214327,-0.4580267556008719,1.7709000000000001,-0.5218534463463698,1.762
"(50, 10)",14.18712645010484,-0.4623028122682582,1.75618,-0.5009094953224391,1.7610000000000001
"(50, 15)",8.584208961988482,-0.46664868210572363,1.74149,-0.48869219055847957,1.756
"(50, 20)",11.175900674995312,-0.47106436511326955,1.7268100000000002,-0.5009094953224391,1.741
"(50, 25)",22.113041108914466,-0.47556731458341517,1.7122600000000001,-0.41364303272272807,1.716
"(50, 30)",18.594699643077494,-0.4801400772236404,1.69771,-0.42760566673868183,1.701
"(55, 5)",4.331474769821851,-0.44940482909601975,1.7637200000000002,-0.4502949470146067,1.743
"(55, 10)",15.996383028379059,-0.453611072593326,1.74893,-0.49741883681845067,1.742
"(55, 15)",11.978690269383089,-0.4579045825532324,1.73408,-0.4904375198104738,1.722
"(55, 20)",14.795292501759619,-0.4622679056832184,1.71932,-0.5026548245744333,1.733
"(55, 25)",10.903404963396172,-0.46670104198328355,1.7047,-0.49741883681845067,1.705
"(55, 30)",6.679403098572805,-0.47122144474594885,1.69016,-0.45553093477058937,1.708
"(60, 25)",17.96850626582429,-0.4577649562130728,1.6973,-0.507890812330416,1.71
"(60, 30)",1.3196487949686726,-0.46223299909817817,1.6827,-0.4660029102825547,1.683
"(60, 35)",10.088895602449202,-0.4667708551533636,1.6681000000000001,-0.49567350756645645,1.6620000000000001
"(60, 40)",21.081487462110573,-0.4713959776711487,1.65354,-0.4101523742187396,1.6560000000000001
"(65, 30)",9.689978980545439,-0.4531572869878078,1.6753900000000002,-0.4258603374866876,1.666
"(65, 35)",14.375253842573482,-0.4576427831654333,1.66078,-0.4991641660704449,1.6640000000000001
"(65, 40)",15.010720558792856,-0.46219809251313837,1.6461800000000002,-0.41887902047871073,1.6560000000000001
"(65, 45)",11.013274175725558,-0.4668581216159633,1.63152,-0.4991641660704449,1.6360000000000001
"(65, 50)",14.779085672712274,-0.4715879638888678,1.61688,-0.42760566673868183,1.613
"(70, 30)",0.6008754814332735,-0.4439943084148372,1.6683500000000002,-0.4433136300066298,1.671
"(70, 35)",11.048318427825437,-0.44840999142238314,1.6536600000000001,-0.4171336912267165,1.665
"(70, 40)",2.962209567095779,-0.45291294089252876,1.6389500000000001,-0.46076692252657203,1.645
"(70, 45)",11.830172538074665,-0.45750315682527365,1.62421,-0.492182849062468,1.615
"(70, 50)",16.573511098780497,-0.4621631859280986,1.60949,-0.41364303272272807,1.624
"(70, 55)",11.44667418393868,-0.4669279347860429,1.59483,-0.5009094953224391,1.604
"(75, 35)",4.645443585279227,-0.4391073865092534,1.64665,-0.44680428851061826,1.665
"(75, 40)",4.837216202232773,-0.443540522809319,1.6318500000000002,-0.42935099599067605,1.6340000000000001
"(75, 45)",13.336850254592441,-0.4480609255719843,1.61703,-0.4084070449667454,1.619
"(75, 50)",16.587943694735664,-0.4526511415047296,1.60226,-0.40317105721076274,1.61
"(75, 55)",11.587044418354099,-0.4573460771925939,1.58755,-0.492182849062468,1.579
"(75, 60)",18.85577394385312,-0.46212827934305833,1.57287,-0.40491638646275696,1.583
"(75, 65)",9.341250355941263,-0.4670152012486426,1.5582500000000001,-0.49567350756645645,1.552
"(75, 75)",1.3340868175968685,-0.47705084444761026,1.53679,-0.47822021504651424,1.543
"(80, 25)",2.660914547031693,-0.42123521496883165,1.6764200000000002,-0.41364303272272807,1.678
"(80, 45)",5.609868920229016,-0.4385314278560952,1.61,-0.42236967898269917,1.617
"(80, 50)",2.2230205125305353,-0.44306928391128064,1.59519,-0.4485496177626125,1.589
"(80, 55)",1.9473179676377637,-0.44767695313654565,1.5804200000000002,-0.44505895925862404,1.572
"(80, 60)",9.973486643655392,-0.4523893421169305,1.56566,-0.42236967898269917,1.575
"(80, 65)",15.378276490365165,-0.4571889975599146,1.5509700000000002,-0.5044001538264276,1.561
"(80, 70)",9.277846922375032,-0.46209337275801854,1.53632,-0.4904375198104738,1.546
"(80, 75)",1.8915223011095101,-0.46708501441872263,1.5217100000000001,-0.4729842272905316,1.52
"(85, 35)",3.404495073466015,-0.4202578305877145,1.63999,-0.42935099599067605,1.633
"(85, 50)",0.593821683319439,-0.43338270656271227,1.58827,-0.4328416544946645,1.591
"(85, 55)",5.7031325554994545,-0.43792056261789725,1.5734400000000002,-0.42062434973070495,1.577
"(85, 60)",1.1445091495917095,-0.44256313842820205,1.55861,-0.4433136300066298,1.564
"(85, 65)",1.9082985650591546,-0.447292980701107,1.54383,-0.44680428851061826,1.553
"(85, 70)",13.61974704506853,-0.45211008943661124,1.52912,-0.4101523742187396,1.542
"(85, 75)",6.652353956645011,-0.4570319179272353,1.51444,-0.43633231299865294,1.5210000000000001
"(85, 80)",6.785209255891196,-0.46205846617297874,1.49981,-0.4834562028024969,1.506
