,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",10.927064697216482,-0.4750611691003366,1.7919800000000001,-0.5044001538264276,1.792
"(40, 10)",1.8792806905369284,-0.47944194552284225,1.7774500000000002,-0.4747295565425258,1.774
"(45, 5)",1.0804545612784333,-0.46657886893564404,1.7782,-0.46949356878654314,1.778
"(45, 10)",15.413979265050552,-0.4709072854805898,1.76354,-0.42935099599067605,1.752
"(50, 5)",24.919251140572,-0.4580267556008719,1.7709000000000001,-0.5253441048503582,1.7570000000000001
"(50, 10)",16.167915305032636,-0.4623028122682582,1.75618,-0.5061454830784218,1.764
"(50, 15)",10.92193924269856,-0.46664868210572363,1.74149,-0.49392817831446223,1.7630000000000001
"(50, 20)",15.849926022301084,-0.47106436511326955,1.7268100000000002,-0.5131268000863987,1.748
"(50, 25)",22.701212582381064,-0.47556731458341517,1.7122600000000001,-0.41189770347073384,1.713
"(50, 30)",17.332447628960846,-0.4801400772236404,1.69771,-0.4310963252426703,1.698
"(55, 5)",7.243592214983072,-0.44940482909601975,1.7637200000000002,-0.4485496177626125,1.729
"(55, 10)",16.074457563194432,-0.453611072593326,1.74893,-0.49741883681845067,1.738
"(55, 15)",11.822907999821362,-0.4579045825532324,1.73408,-0.48869219055847957,1.714
"(55, 20)",16.991897385823915,-0.4622679056832184,1.71932,-0.507890812330416,1.74
"(55, 25)",11.526409776571922,-0.46670104198328355,1.7047,-0.4991641660704449,1.706
"(55, 30)",6.022270845196153,-0.47122144474594885,1.69016,-0.46251225177856625,1.715
"(60, 25)",21.30901886430421,-0.4577649562130728,1.6973,-0.5166174585903871,1.717
"(60, 30)",1.3269825441516379,-0.46223299909817817,1.6827,-0.4660029102825547,1.682
"(60, 35)",10.17866508562296,-0.4667708551533636,1.6681000000000001,-0.49567350756645645,1.659
"(60, 40)",20.453292918552773,-0.4713959776711487,1.65354,-0.41189770347073384,1.6520000000000001
"(65, 30)",10.209337892449033,-0.4531572869878078,1.6753900000000002,-0.4258603374866876,1.657
"(65, 35)",15.613390774003411,-0.4576427831654333,1.66078,-0.5026548245744333,1.666
"(65, 40)",15.083005662625926,-0.46219809251313837,1.6461800000000002,-0.41887902047871073,1.6580000000000001
"(65, 45)",11.680084939220153,-0.4668581216159633,1.63152,-0.5009094953224391,1.639
"(65, 50)",14.293049922338332,-0.4715879638888678,1.61688,-0.42935099599067605,1.607
"(70, 30)",1.1198066242547766,-0.4439943084148372,1.6683500000000002,-0.44680428851061826,1.671
"(70, 35)",10.118972123283296,-0.44840999142238314,1.6536600000000001,-0.42062434973070495,1.669
"(70, 40)",3.27657142750685,-0.45291294089252876,1.6389500000000001,-0.46076692252657203,1.6480000000000001
"(70, 45)",11.509207889868899,-0.45750315682527365,1.62421,-0.4904375198104738,1.609
"(70, 50)",17.90988910859011,-0.4621631859280986,1.60949,-0.4101523742187396,1.6280000000000001
"(70, 55)",12.300375781859211,-0.4669279347860429,1.59483,-0.5026548245744333,1.61
"(75, 35)",8.25998538101289,-0.4391073865092534,1.64665,-0.45378560551859515,1.678
"(75, 40)",4.821807247629168,-0.443540522809319,1.6318500000000002,-0.42935099599067605,1.633
"(75, 45)",12.734345983130618,-0.4480609255719843,1.61703,-0.4101523742187396,1.615
"(75, 50)",16.54188794773665,-0.4526511415047296,1.60226,-0.40317105721076274,1.608
"(75, 55)",10.664552486615893,-0.4573460771925939,1.58755,-0.48869219055847957,1.574
"(75, 60)",19.422066461611184,-0.46212827934305833,1.57287,-0.40317105721076274,1.583
"(75, 65)",8.933253476683037,-0.4670152012486426,1.5582500000000001,-0.49392817831446223,1.548
"(75, 75)",1.9361318466715665,-0.47705084444761026,1.53679,-0.47822021504651424,1.546
"(80, 25)",4.495529234696546,-0.42123521496883165,1.6764200000000002,-0.4084070449667454,1.679
