,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",3.185404558657349,-0.4750611691003366,1.7919800000000001,-0.4834562028024969,1.7890000000000001
"(40, 10)",1.6315989483545141,-0.47944194552284225,1.7774500000000002,-0.47822021504651424,1.7850000000000001
"(45, 5)",11.473607566413394,-0.46657886893564404,1.7782,-0.49741883681845067,1.782
"(45, 10)",26.2418090533258,-0.4709072854805898,1.76354,-0.3996803987067743,1.7690000000000001
"(50, 5)",21.622754967447413,-0.4580267556008719,1.7709000000000001,-0.5166174585903871,1.77
"(50, 10)",12.223254702341254,-0.4623028122682582,1.75618,-0.49567350756645645,1.7530000000000001
"(50, 15)",9.92323530216039,-0.46664868210572363,1.74149,-0.49392817831446223,1.744
"(50, 20)",6.347446103655268,-0.47106436511326955,1.7268100000000002,-0.48869219055847957,1.728
"(50, 25)",6.519279276322254,-0.47556731458341517,1.7122600000000001,-0.4572762640225836,1.712
"(50, 30)",11.813770535949615,-0.4801400772236404,1.69771,-0.44680428851061826,1.701
"(55, 5)",0.9815136691953152,-0.44940482909601975,1.7637200000000002,-0.4520402762666009,1.7630000000000001
"(55, 10)",15.958945069047997,-0.453611072593326,1.74893,-0.49741883681845067,1.747
"(55, 15)",13.645012652745038,-0.4579045825532324,1.73408,-0.49567350756645645,1.733
"(55, 20)",11.967922526605722,-0.4622679056832184,1.71932,-0.49567350756645645,1.72
"(55, 25)",10.282720915633092,-0.46670104198328355,1.7047,-0.49567350756645645,1.705
"(55, 30)",10.453607124364398,-0.47122144474594885,1.69016,-0.5009094953224391,1.692
"(60, 25)",10.93802696433315,-0.4577649562130728,1.6973,-0.48869219055847957,1.699
"(60, 30)",11.707376959146336,-0.46223299909817817,1.6827,-0.49567350756645645,1.682
"(60, 35)",10.026886453640644,-0.4667708551533636,1.6681000000000001,-0.49567350756645645,1.668
"(60, 40)",6.661108267842732,-0.4713959776711487,1.65354,-0.4520402762666009,1.6540000000000001
"(65, 30)",0.5132264043415549,-0.4531572869878078,1.6753900000000002,-0.4520402762666009,1.677
"(65, 35)",16.184539726398523,-0.4576427831654333,1.66078,-0.5044001538264276,1.6640000000000001
"(65, 40)",14.308329220398091,-0.46219809251313837,1.6461800000000002,-0.42062434973070495,1.6520000000000001
"(65, 45)",10.364973732845042,-0.4668581216159633,1.63152,-0.49741883681845067,1.631
"(65, 50)",5.401516218644119,-0.4715879638888678,1.61688,-0.45553093477058937,1.618
"(70, 30)",0.8533457886560266,-0.4439943084148372,1.6683500000000002,-0.4415683007546356,1.669
"(70, 35)",8.445200602042274,-0.44840999142238314,1.6536600000000001,-0.4241150082346934,1.659
"(70, 40)",2.684376323682294,-0.45291294089252876,1.6389500000000001,-0.46076692252657203,1.6400000000000001
"(70, 45)",11.121137891335556,-0.45750315682527365,1.62421,-0.4904375198104738,1.622
"(70, 50)",15.148876017879283,-0.4621631859280986,1.60949,-0.4171336912267165,1.616
