,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",1.4307348390267796,-0.4750611691003366,1.7919800000000001,-0.4787438138221125,1.79
"(40, 10)",1.572274853127791,-0.47944194552284225,1.7774500000000002,-0.4754276882433235,1.78
"(45, 5)",3.6888725356492205,-0.46657886893564404,1.7782,-0.47647488579452,1.78
"(45, 10)",12.16457221828808,-0.4709072854805898,1.76354,-0.43807764225064716,1.77
"(50, 5)",18.46786912976475,-0.4580267556008719,1.7709000000000001,-0.5080653452556154,1.77
"(50, 10)",13.533284182720024,-0.4623028122682582,1.75618,-0.4991641660704449,1.76
"(50, 15)",8.730739446786725,-0.46664868210572363,1.74149,-0.4431390970814304,1.75
"(50, 20)",9.010149497312634,-0.47106436511326955,1.7268100000000002,-0.4960225734168553,1.73
"(50, 25)",18.392466029702238,-0.47556731458341517,1.7122600000000001,-0.4242895411598928,1.72
"(50, 30)",11.119912385575248,-0.4801400772236404,1.69771,-0.4487241506878119,1.7
"(55, 5)",2.199932572487498,-0.44940482909601975,1.7637200000000002,-0.4550073359949911,1.76
"(55, 10)",18.196630311587313,-0.453611072593326,1.74893,-0.5035274892004304,1.75
"(55, 15)",14.1570498478192,-0.4579045825532324,1.73408,-0.4970697709680518,1.73
"(55, 20)",11.27973192505881,-0.4622679056832184,1.71932,-0.4937536453892628,1.72
"(55, 25)",9.450964605685447,-0.46670104198328355,1.7047,-0.49323004661366454,1.7
"(55, 30)",4.176700434693261,-0.47122144474594885,1.69016,-0.48310713695209806,1.69
"(60, 25)",15.326363220679024,-0.4577649562130728,1.6973,-0.5010840282476385,1.7
"(60, 30)",7.409281581367491,-0.46223299909817817,1.6827,-0.4415683007546356,1.69
"(60, 35)",12.767398918396704,-0.4667708551533636,1.6681000000000001,-0.5035274892004304,1.67
"(60, 40)",16.888338570615584,-0.4713959776711487,1.65354,-0.4225442119078986,1.6600000000000001
"(65, 30)",6.552754007368015,-0.4531572869878078,1.6753900000000002,-0.4345869837466587,1.68
"(65, 35)",12.716934182463655,-0.4576427831654333,1.66078,-0.4944517770900605,1.6600000000000001
"(65, 40)",12.301496921685516,-0.46219809251313837,1.6461800000000002,-0.4263839362622859,1.6500000000000001
"(65, 45)",10.721121943369287,-0.4668581216159633,1.63152,-0.4984660343696472,1.6300000000000001
"(65, 50)",6.079856892477593,-0.4715879638888678,1.61688,-0.4536110725933957,1.62
"(70, 30)",0.5910869884039329,-0.4439943084148372,1.6683500000000002,-0.44261549830583213,1.67
"(70, 35)",15.585111791322795,-0.44840999142238314,1.6536600000000001,-0.40334559013596216,1.6600000000000001
"(70, 40)",0.22625140570596475,-0.45291294089252876,1.6389500000000001,-0.45308747381779746,1.6400000000000001
"(70, 45)",15.140443780834913,-0.45750315682527365,1.62421,-0.5021312257988351,1.6300000000000001
"(70, 50)",21.94809580489664,-0.4621631859280986,1.60949,-0.39706240482878297,1.62
"(70, 55)",10.459056051804314,-0.4669279347860429,1.59483,-0.4982915014444478,1.6
"(75, 35)",0.9979270404195727,-0.4391073865092534,1.64665,-0.4370304446994506,1.6500000000000001
"(75, 40)",4.826669058637203,-0.443540522809319,1.6318500000000002,-0.42935099599067605,1.6300000000000001
"(75, 45)",2.267343612412322,-0.4480609255719843,1.61703,-0.4415683007546356,1.62
"(75, 50)",16.81899443556248,-0.4526511415047296,1.60226,-0.40247292550996505,1.61
"(75, 55)",14.322639081738,-0.4573460771925939,1.58755,-0.5007349623972397,1.59
"(75, 60)",11.055576578717686,-0.46212827934305833,1.57287,-0.42865286428987837,1.58
"(75, 65)",10.184209173128712,-0.4670152012486426,1.5582500000000001,-0.4984660343696472,1.56
"(75, 75)",2.087059323274933,-0.47705084444761026,1.53679,-0.4832816698772975,1.54
"(80, 25)",0.7431818609739439,-0.42123521496883165,1.6764200000000002,-0.4211479485063032,1.68
"(80, 45)",4.353717945591054,-0.4385314278560952,1.61,-0.42551127163628877,1.61
"(80, 50)",1.4630393711760104,-0.44306928391128064,1.59519,-0.44628068973502,1.6
"(80, 55)",0.8659366181855399,-0.44767695313654565,1.5804200000000002,-0.44505895925862404,1.58
"(80, 60)",10.093015215271539,-0.4523893421169305,1.56566,-0.42149701435670206,1.57
"(80, 65)",12.714924076521028,-0.4571889975599146,1.5509700000000002,-0.496720705117653,1.55
"(80, 70)",3.719200648996423,-0.46209337275801854,1.53632,-0.47350782606612984,1.54
"(80, 75)",11.9304825948847,-0.46708501441872263,1.5217100000000001,-0.5049237526020258,1.52
"(85, 35)",0.18366463164716917,-0.4202578305877145,1.63999,-0.42079888265590437,1.6400000000000001
"(85, 50)",2.2785585179102834,-0.43338270656271227,1.58827,-0.4265584691874853,1.59
"(85, 55)",7.556632880916203,-0.43792056261789725,1.5734400000000002,-0.41521382904952286,1.58
"(85, 60)",0.7729581871749968,-0.44256313842820205,1.55861,-0.44034657027823965,1.56
"(85, 65)",1.3815503747811209,-0.447292980701107,1.54383,-0.45081854579020497,1.54
"(85, 70)",1.8040328834787305,-0.45211008943661124,1.52912,-0.4464552226602194,1.53
"(85, 75)",8.508103716358695,-0.4570319179272353,1.51444,-0.43022366061667316,1.52
"(85, 80)",11.094766502345347,-0.46205846617297874,1.49981,-0.4977679026688495,1.5
"(85, 85)",0.9990336233187825,-0.46717228088132234,1.4852100000000001,-0.4675737066093495,1.49
"(85, 95)",1.7894849574184661,-0.47774897614840794,1.45626,-0.48310713695209806,1.46
"(90, 40)",0.43911103990782413,-0.414917123076612,1.6185,-0.4139920985731269,1.62
"(90, 60)",3.8795350398461195,-0.4326322149843542,1.55172,-0.42062434973070495,1.55
"(90, 65)",0.658742533049336,-0.4372922440871796,1.53685,-0.4375540434750489,1.54
"(90, 70)",14.483744359705,-0.44202208636008367,1.52206,-0.3965388060531847,1.53
"(90, 75)",1.0158636522909588,-0.44687410168062813,1.5073200000000002,-0.449596815313809,1.51
"(90, 80)",16.278747581917617,-0.4518133834637723,1.4926300000000001,-0.3995058657815749,1.5
"(90, 85)",10.66346648092142,-0.4568573850020359,1.4778700000000002,-0.49165925028686974,1.48
"(90, 90)",9.516854367479326,-0.46200610629541927,1.46322,-0.49340457953886396,1.46
"(90, 95)",5.538473376912614,-0.46727700063644173,1.4486800000000002,-0.4857251308300894,1.45
